表章項目_code,表章項目,人口及び人口増減_code,人口及び人口増減,男女別_code,男女別,人口_code,人口,全国・都道府県_code,全国・都道府県,時間軸（年間）_code,時間軸（年間）,unit,value
008,人口,204,人口,001,男,001,総人口,06000,山形県,2024001001,2024年10月1日現在,人,490658
008,人口,204,人口,001,男,001,総人口,07000,福島県,2023001001,2023年10月1日現在,人,872836
008,人口,204,人口,001,男,001,総人口,07000,福島県,2024001001,2024年10月1日現在,人,861366
008,人口,204,人口,001,男,001,総人口,08000,茨城県,2023001001,2023年10月1日現在,人,1412128
008,人口,204,人口,001,男,001,総人口,08000,茨城県,2024001001,2024年10月1日現在,人,1403561
008,人口,204,人口,001,男,001,総人口,09000,栃木県,2023001001,2023年10月1日現在,人,947832
008,人口,204,人口,001,男,001,総人口,09000,栃木県,2024001001,2024年10月1日現在,人,942323
008,人口,204,人口,001,男,001,総人口,10000,群馬県,2023001001,2023年10月1日現在,人,942125
008,人口,204,人口,001,男,001,総人口,10000,群馬県,2024001001,2024年10月1日現在,人,936820
008,人口,204,人口,001,男,001,総人口,11000,埼玉県,2023001001,2023年10月1日現在,人,3640494
008,人口,204,人口,001,男,001,総人口,11000,埼玉県,2024001001,2024年10月1日現在,人,3640445
008,人口,204,人口,001,男,001,総人口,12000,千葉県,2023001001,2023年10月1日現在,人,3098764
008,人口,204,人口,001,男,001,総人口,12000,千葉県,2024001001,2024年10月1日現在,人,3093948
008,人口,204,人口,001,男,001,総人口,13000,東京都,2023001001,2023年10月1日現在,人,6913804
008,人口,204,人口,001,男,001,総人口,13000,東京都,2024001001,2024年10月1日現在,人,6960079
008,人口,204,人口,001,男,001,総人口,14000,神奈川県,2023001001,2023年10月1日現在,人,4578092
008,人口,204,人口,001,男,001,総人口,14000,神奈川県,2024001001,2024年10月1日現在,人,4575713
008,人口,204,人口,001,男,001,総人口,15000,新潟県,2023001001,2023年10月1日現在,人,1033963
008,人口,204,人口,001,男,001,総人口,15000,新潟県,2024001001,2024年10月1日現在,人,1021010
008,人口,204,人口,001,男,001,総人口,16000,富山県,2023001001,2023年10月1日現在,人,490399
008,人口,204,人口,001,男,001,総人口,16000,富山県,2024001001,2024年10月1日現在,人,485963
008,人口,204,人口,001,男,001,総人口,17000,石川県,2023001001,2023年10月1日現在,人,538927
008,人口,204,人口,001,男,001,総人口,17000,石川県,2024001001,2024年10月1日現在,人,533813
008,人口,204,人口,001,男,001,総人口,18000,福井県,2023001001,2023年10月1日現在,人,363948
008,人口,204,人口,001,男,001,総人口,18000,福井県,2024001001,2024年10月1日現在,人,361412
008,人口,204,人口,001,男,001,総人口,19000,山梨県,2023001001,2023年10月1日現在,人,391417
008,人口,204,人口,001,男,001,総人口,19000,山梨県,2024001001,2024年10月1日現在,人,389198
008,人口,204,人口,001,男,001,総人口,20000,長野県,2023001001,2023年10月1日現在,人,981356
008,人口,204,人口,001,男,001,総人口,20000,長野県,2024001001,2024年10月1日現在,人,973094
008,人口,204,人口,001,男,001,総人口,21000,岐阜県,2023001001,2023年10月1日現在,人,937901
008,人口,204,人口,001,男,001,総人口,21000,岐阜県,2024001001,2024年10月1日現在,人,930421
008,人口,204,人口,001,男,001,総人口,22000,静岡県,2023001001,2023年10月1日現在,人,1754187
008,人口,204,人口,001,男,001,総人口,22000,静岡県,2024001001,2024年10月1日現在,人,1740064
008,人口,204,人口,001,男,001,総人口,23000,愛知県,2023001001,2023年10月1日現在,人,3725966
008,人口,204,人口,001,男,001,総人口,23000,愛知県,2024001001,2024年10月1日現在,人,3717343
008,人口,204,人口,001,男,001,総人口,24000,三重県,2023001001,2023年10月1日現在,人,844420
008,人口,204,人口,001,男,001,総人口,24000,三重県,2024001001,2024年10月1日現在,人,836535
008,人口,204,人口,001,男,001,総人口,25000,滋賀県,2023001001,2023年10月1日現在,人,694562
008,人口,204,人口,001,男,001,総人口,25000,滋賀県,2024001001,2024年10月1日現在,人,692521
008,人口,204,人口,001,男,001,総人口,26000,京都府,2023001001,2023年10月1日現在,人,1210293
008,人口,204,人口,001,男,001,総人口,26000,京都府,2024001001,2024年10月1日現在,人,1202685
008,人口,204,人口,001,男,001,総人口,27000,大阪府,2023001001,2023年10月1日現在,人,4190932
008,人口,204,人口,001,男,001,総人口,27000,大阪府,2024001001,2024年10月1日現在,人,4184549
008,人口,204,人口,001,男,001,総人口,28000,兵庫県,2023001001,2023年10月1日現在,人,2551054
008,人口,204,人口,001,男,001,総人口,28000,兵庫県,2024001001,2024年10月1日現在,人,2534708
008,人口,204,人口,001,男,001,総人口,29000,奈良県,2023001001,2023年10月1日現在,人,609278
008,人口,204,人口,001,男,001,総人口,29000,奈良県,2024001001,2024年10月1日現在,人,604128
