単位_db_code,単位_db,表頭_集計項目_db_code,表頭_集計項目_db,表側_集計項目_db_code,表側_集計項目_db,都道府県_code,都道府県,時間軸_db_code,時間軸_db,unit,value
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2022000000,2022年,,114064
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2023000000,2023年,,96113
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2024000000,2024年,,96646
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2021100000,2021年度,,113739
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2022100000,2022年度,,109696
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2023100000,2023年度,,94317
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2023001012,2023年10～12月,,24422
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2024000103,2024年1～3月,,24726
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2024000406,2024年4～6月,,22659
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2024000709,2024年7～9月,,23964
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2024001012,2024年10～12月,,25297
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2023001111,2023年11月,,7840
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2023001212,2023年12月,,9843
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2024000101,2024年1月,,8339
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2024000202,2024年2月,,7127
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2024000303,2024年3月,,9260
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2024000404,2024年4月,,7087
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2024000505,2024年5月,,7246
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2024000606,2024年6月,,8326
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2024000707,2024年7月,,9149
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2024000808,2024年8月,,7252
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2024000909,2024年9月,,7563
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2024001010,2024年10月,,6796
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2024001111,2024年11月,,8133
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2024001212,2024年12月,,10368
0101300,百万円,01040110,販売額等,01030100,販売額等,09000,栃木県,2025000101,2025年1月,,8601
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2022000000,2022年,,117463
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2023000000,2023年,,118503
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2024000000,2024年,,127066
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2021100000,2021年度,,110658
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2022100000,2022年度,,117886
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2023100000,2023年度,,119324
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2023001012,2023年10～12月,,29788
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2024000103,2024年1～3月,,32442
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2024000406,2024年4～6月,,28801
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2024000709,2024年7～9月,,31566
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2024001012,2024年10～12月,,34257
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2023001111,2023年11月,,10154
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2023001212,2023年12月,,11170
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2024000101,2024年1月,,10615
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2024000202,2024年2月,,9276
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2024000303,2024年3月,,12551
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2024000404,2024年4月,,9430
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2024000505,2024年5月,,9326
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2024000606,2024年6月,,10045
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2024000707,2024年7月,,11762
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2024000808,2024年8月,,9660
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2024000909,2024年9月,,10144
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2024001010,2024年10月,,8956
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2024001111,2024年11月,,12086
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2024001212,2024年12月,,13215
0101300,百万円,01040110,販売額等,01030100,販売額等,10000,群馬県,2025000101,2025年1月,,12014
0101300,百万円,01040110,販売額等,01030100,販売額等,11000,埼玉県,2022000000,2022年,,222341
0101300,百万円,01040110,販売額等,01030100,販売額等,11000,埼玉県,2023000000,2023年,,216491
0101300,百万円,01040110,販売額等,01030100,販売額等,11000,埼玉県,2024000000,2024年,,222438
0101300,百万円,01040110,販売額等,01030100,販売額等,11000,埼玉県,2021100000,2021年度,,223250
0101300,百万円,01040110,販売額等,01030100,販売額等,11000,埼玉県,2022100000,2022年度,,221003
0101300,百万円,01040110,販売額等,01030100,販売額等,11000,埼玉県,2023100000,2023年度,,216533
0101300,百万円,01040110,販売額等,01030100,販売額等,11000,埼玉県,2023001012,2023年10～12月,,53334
0101300,百万円,01040110,販売額等,01030100,販売額等,11000,埼玉県,2024000103,2024年1～3月,,56056
0101300,百万円,01040110,販売額等,01030100,販売額等,11000,埼玉県,2024000406,2024年4～6月,,54586
0101300,百万円,01040110,販売額等,01030100,販売額等,11000,埼玉県,2024000709,2024年7～9月,,56494
0101300,百万円,01040110,販売額等,01030100,販売額等,11000,埼玉県,2024001012,2024年10～12月,,55302
0101300,百万円,01040110,販売額等,01030100,販売額等,11000,埼玉県,2023001111,2023年11月,,16550
0101300,百万円,01040110,販売額等,01030100,販売額等,11000,埼玉県,2023001212,2023年12月,,21330
0101300,百万円,01040110,販売額等,01030100,販売額等,11000,埼玉県,2024000101,2024年1月,,18618
0101300,百万円,01040110,販売額等,01030100,販売額等,11000,埼玉県,2024000202,2024年2月,,15721
0101300,百万円,01040110,販売額等,01030100,販売額等,11000,埼玉県,2024000303,2024年3月,,21717
